English Word,Grammatical Type,Pidgin Translation,Script,True Transcription,Skyhawk Orthography,set,pack
"chance, coincidence, luck, risk",noun,hyf,hyf,heef,hēf,,
"change, modify",verb,hi,hi,hih,hi,,
"channel, degree, setting",noun,heyn,hFn,hayn,hān,,
"channel, direct, pour",verb,zelf,zEf,zelf,zelf,,
chant,verb,sorj,sSj,sarch,sarč,,
chaparral,noun,silf,sIf,silf,silf,,
charcoal,noun,volv,vOv,vallv,volv,,
charge-energy,verb,vuD,vuD,vuhdz,vuẓ,,
charisma,noun,xorJ,xSJ,sharj,šarj,,
"chart, graph, map",noun,hil,hI,hil,hil,,
chartreuse,compound noun,qol su nol,qO su nO,thall s'nall,θol sᵘnol,,
"chase, pursue",verb,Yyf,Yyf,yeef,yēf,,
chastity,noun,liH,",liH",lihkhh,liħ,,
cheat,verb,zan,zan,zan,zan,,
check (mark),noun,Hgwx,Hgx,khhohwsh,ħōš,,
cheek,noun,na,na,na,na,,
cheese,noun,kawj,kCj,kauwch,kowč,,
cheetah,noun,vwz,vwz,voohz,vüz,,
"chemical, molecule",noun,Hawz,HCz,khhauwz,ħowz,,
chemistry,noun,Hil,HI,khhil,ħil,,
cherry,noun,Xrn,Xrn,zhurn,žurn,,
chest (lidded box),noun,HaD,HaD,khhadz,ħaẓ,,
"chest, thorax",noun,jolv,jOv,challv,čolv,,
chew,verb,jirs,jVs,cheers,čērs,,
chicken,noun,kelj,kEj,kelch,kelč,,
"child, preteen",noun,kiT,kiT,kihts,kiṣ,,
childishness,noun,Wir,WV,weer,wēr,,
"chill, freeze",verb,nuJ,nuJ,nuhj,nuj,,
chimpanzee,noun,Jilf,JIf,jilf,jilf,,
chin,noun,zalf,zAf,zalf,zalf,,
chinchilla,noun,jilx,jIx,chilsh,čilš,,
"chip, slice",noun,Ygwf,Ygf,yohwf,yōf,,
chipmunk,noun,zelj,zEj,zelch,zelč,,
chlorine,noun,jan,jan,chan,čan,,
chocolate,noun,qaf,qaf,thaf,θaf,,
"choice, decision",noun,voyN,vZN,viing,vīŋ,,
"choke, strangle",verb,Yawk,YCk,yauwk,yowk,,
"choose, decide, select",verb,Rwf,Rwf,roohf,rüf,,
"chore, task",noun,moyH,mZH,miikhh,mīħ,,
chunk,noun,zulk,zUk,zulk,zulk,,
"church, temple",noun,pwf,pwf,poohf,püf,,
cicada,noun,lglx,",lGx",lohlsh,lōlš,animal,
cigar,noun,va,va,va,va,,
cigarette,noun,vas,vas,vas,vas,,
cinnamon,noun,Xal,XA,zhal,žal,,
circle,noun,Wrn,Wrn,wurn,wurn,,
circuit,noun,QuJ,QuJ,dthuhj,ðuj,,
"city, town",noun,lwq,",lwq",loohth,lüθ,,
"civilization, society",noun,qyJ,qyJ,theej,θēj,,
"claim, take",verb,morz,mSz,marz,marz,,
clam,noun,JiH,JiH,jihkhh,jiħ,,
clarity,noun,pgyX,pBX,poizh,poiž,,
classification,noun,mulv,mUv,mulv,mulv,,
clavicle,noun,lulx,",lUx",lulsh,lulš,,
claw (sharp),noun,Tak,Tak,tsak,ṣak,,
"claw, cleave, cut, slice",verb,Yys,Yys,yees,yēs,,
"cleanliness, hygiene",noun,zyn,zyn,zeen,zēn,bathroom,home
clean-up,verb,XeN,XeN,zhehng,žeŋ,bathroom,home
clicking-sound,noun,kalk,kAk,kalk,kalk,,
"client, end-user, receiver",compound noun,nuQyj,nuQyj,n'dtheech,nᵘðēč,,
cliff,noun,Teys,TFs,tsays,ṣās,,
"climax, pinnacle",noun,TerJ,TPJ,tsairj,ṣārj,,
climb,verb,Xilz,XIz,zhilz,žilz,,
"clip, pinch",verb,keyj,kFj,kaych,kāč,,
clitoris,noun,xol,xO,shall,šol,,
"cloak, cover, wrap",verb,vglJ,vGJ,vohlj,vōlj,,
clock,noun,jgw,jg,chohw,čō,,
clockwise,compound noun,nuYixyWujzy,nuYixyWujzy,n'yih-shee-wuhch-zee,nᵘyi-šē-wuč-zē,,
clockwise-from,compound preposition,YixyWuj,YixyWuj,yih-shee-wuhch,yi-šē-wuč,,
"clone, copy, reproduce",verb,ngyk,nBk,noik,noik,,
close,verb,joj,joj,choch,čoč,,
closet,noun,Xwq,Xwq,zhoohth,žüθ,,
cloth,noun,Relv,REv,relv,relv,,
clothing,noun,jors,jSs,chars,čars,clothing,
cloud,noun,Wuls,WUs,wuls,wuls,,
"club, mace",noun,noyx,nZx,niish,nīš,,
"club, organization",noun,Til,TI,tsil,ṣil,,
"cluster, group",noun,Wglv,WGv,wohlv,wōlv,,
coal (substance),noun,Rgws,Rgs,rohws,rōs,,
"coal, dark gray (color)",compound noun,saw su feJTy,sC su feJTy,sauw s'fehj-tsee,sow sᵘfej-ṣē,,
"coat, jacket",noun,pgwz,pgz,pohwz,pōz,,
"coating, covering",noun,Torp,TSp,tsarp,ṣarp,,
cobalt (color),compound noun,kuq su saw,kuq su sC,kuhth s'sauw,kuθ sᵘsow,,
code,noun,xols,xOs,shalls,šols,,
coffee,noun,Wix,Wix,wihsh,wiš,,
coffin,noun,xiN,xiN,shihng,šiŋ,,
"coil, spring",noun,serT,sPT,sairts,sārṣ,,
coin,noun,Rrj,Rrj,rurch,rurč,,
cold (sickness),noun,qorz,qSz,tharz,θarz,,
collapse,verb,silH,sIH,silkhh,silħ,,
collar,noun,zglm,zGm,zohlm,zōlm,,
"collect, gather",verb,Nyq,Nyq,ngeeth,ŋēθ,,
college,noun,qulq,qUq,thulth,θulθ,,
"collide, crash",verb,krx,krx,kursh,kurš,,
"cologne, perfume",noun,HoyN,HZN,khhiing,ħīŋ,,
colon,noun,Qgrn,Qbn,dthoarn,ðōrn,,
color,verb,vgyz,vBz,voiz,voiz,,
color,noun,Wgwv,Wgv,wohwv,wōv,,
"column, pillar, stack",noun,xgl,xG,shohl,šōl,,
coma,noun,melv,mEv,melv,melv,,
comb,noun,Wolv,WOv,wallv,wolv,bathroom,home
comet,noun,Jup,Jup,juhp,jup,,
"comfort, happiness",noun,mrN,mrN,murng,murŋ,,
"command, demand",verb,Del,DE,dzel,ẓel,,
commitment,noun,Ygrf,Ybf,yoarf,yōrf,,
"commonality, generality",noun,YaD,YaD,yadz,yaẓ,,
communicate,verb,paw,pC,pauw,pow,,
communication,compound noun,nupaw,nupC,n'pauw,nᵘpow,,
"comp. program, instructions",noun,nuQ,nuQ,nuhdth,nuð,,
compare,verb,vyn,vyn,veen,vēn,,
compassion,noun,hoy,hZ,hii,hī,,
compatibility,compound noun,nufolq,nufOq,n'fallth,nᵘfolθ,,
compel,verb,viQ,viQ,vihdth,við,,
compete,verb,zilD,zID,zildz,zilẓ,,
complain,verb,virs,vVs,veers,vērs,,
"completeness, wholeness",noun,Wrm,Wrm,wurm,wurm,,
"compose, design, plan",verb,qex,qex,thehsh,θeš,,
composition,noun,vulH,vUH,vulkhh,vulħ,,
"compress, flatten, press",verb,xrs,xrs,shurs,šurs,,
compromise,verb,Wgwp,Wgp,wohwp,wōp,,
computer,noun,kiv,kiv,kihv,kiv,,
"concentrate-on, focus-on",verb,Nuln,NUn,nguln,ŋuln,,
conclusion,noun,jif,jif,chihf,čif,,
concrete,noun,xolH,xOH,shallkhh,šolħ,,
condemn,verb,Nawp,NCp,ngauwp,ŋowp,,
condense,verb,Wolq,WOq,wallth,wolθ,,
condiment,noun,Don,Don,dzon,ẓon,food,
conditioner (hair),noun,jyk,jyk,cheek,čēk,bathroom,home
"condole, sympathize-with",verb,Xorz,XSz,zharz,žarz,,
"condolences, sympathy",compound noun,nuXorz,nuXSz,n'zharz,nᵘžarz,,
condor,noun,porx,pSx,parsh,parš,,
cone,noun,nok,nok,nok,nok,,
confide,verb,QgyD,QBD,dthoidz,ðoiẓ,,
confidence,noun,Ygws,Ygs,yohws,yōs,,
confine,verb,NilT,NIT,ngilts,ŋilṣ,,
"confirm, verify",verb,korQ,kSQ,kardth,karð,,
conflict,noun,Jex,Jex,jehsh,ješ,,
Confucius,proper noun,kukun,kukun,k'kuhn,kᵘkun,,
confusion,noun,vcH,vcH,vuokhh,vøħ,,
congratulate,verb,Jgrs,Jbs,joars,jōrs,,
conjunction,compound noun,numu,numu,n'muh,nᵘmu,,
"connect, match, relate",verb,vglv,vGv,vohlv,vōlv,,
connection,noun,WaH,WaH,wakhh,waħ,,
consciousness,noun,Wal,WA,wal,wal,,
consent,noun,Dawj,DCj,dzauwch,ẓowč,social,
"consistency, repeatability",noun,TilX,TIX,tsilzh,ṣilž,,
console,verb,ngwn,ngn,nohwn,nōn,,
console,noun,zorq,zSq,zarth,zarθ,,
constellation,noun,HeH,HeH,khhehkhh,ħeħ,,
constitution,noun,ziln,zIn,ziln,ziln,,
"constrict, squeeze, tighten",verb,fis,fis,fihs,fis,,
contact (social),noun,pawk,pCk,pauwk,powk,,
"contact, touch",verb,vw,vw,vooh,vü,,
"contacts, glasses (vision)",compound noun,nuxrsr,nuxrsr,n'shur-sur,nᵘšur-sur,bathroom,home
"contain, surround",verb,qils,qIs,thils,θils,,
container,compound noun,nuqils,nuqIs,n'thils,nᵘθils,,
containing,preposition,su,su,suh,su,preposition,grammar
continent,noun,hulq,hUq,hulth,hulθ,,
"continue, persist (pres. tense)",compound verb,quxly,quxly,thuhsh-lee,θuš-lē,,
contrast,verb,qrH,qrH,thurkhh,θurħ,,
contribute,verb,Jcj,Jcj,juoch,jøč,,
control,compound noun,nulaw,nulC,n'lauw,nᵘlow,,
"control, manipulate",verb,law,",lC",lauw,low,,
controlled-by,preposition,nwj,nwj,noohch,nüč,preposition,grammar
controller (thing controlling),compound noun,nulawsr,nulCsr,n'lauw-sur,nᵘlow-sur,,
controller (thing in charge),compound noun,nunwsr,nunwsr,n'nooh-sur,nᵘnü-sur,,
controlling,preposition,nw,nw,nooh,nü,preposition,grammar
convention (event),noun,xirJ,xVJ,sheerj,šērj,,
conversation,compound noun,nulr,nulr,n'lur,nᵘlur,,
convex-ness,noun,Yc,Yc,yuo,yø,,
"convince, persuade",verb,Jelm,JEm,jelm,jelm,,
"cook, heat",verb,firx,fVx,feersh,fērš,,
cookie,noun,fulj,fUj,fulch,fulč,,
cool,verb,qrq,qrq,thurth,θurθ,,
cooperate,verb,TirT,TVT,tseerts,ṣērṣ,,
coordinates,noun,lgrH,",lbH",loarkhh,lōrħ,description,
copier,compound noun,jgwfsr,jgfsr,chohwf-sur,čōf-sur,,
"copy, print, reproduction",noun,jgwf,jgf,chohwf,čōf,,
copyright,noun,voy,vZ,vii,vī,,
coral (animal or material),noun,qaq,qaq,thath,θaθ,,
cork,noun,Qilj,QIj,dthilch,ðilč,,
corn,noun,Xey,XF,zhay,žā,,
corner,noun,sev,sev,sehv,sev,,
corpse,noun,Xilf,XIf,zhilf,žilf,,
"correct, fix",verb,hglf,hGf,hohlf,hōlf,,
correction,noun,hglv,hGv,hohlv,hōlv,,
"correctness, truth",noun,nelk,nEk,nelk,nelk,,
correlation,noun,jawX,jCX,chauwzh,čowž,,
"corridor, hall",noun,hey,hF,hay,hā,,
corrupt,verb,nirp,nVp,neerp,nērp,,
"cosmetics, makeup",noun,lolp,",lOp",lallp,lolp,bathroom,home
"costume, fursuit",noun,frv,frv,furv,furv,bedroom,home
cotton,noun,qawx,qCx,thauwsh,θowš,,
"couch, sofa",noun,Waj,Waj,wach,wač,,
cougar,noun,Qrf,Qrf,dthurf,ðurf,,
cough,noun,jgrx,jbx,choarsh,čōrš,,
"council, senate",noun,Torf,TSf,tsarf,ṣarf,,
"count, tally",compound noun,qoq,qoq,thoth,θoθ,,
"count, tally",verb,vul su nuqoq,vU su nuqoq,vul s'n'thoth,vul sᵘnᵘθoθ,,
"counter, desk",noun,QirJ,QVJ,dtheerj,ðērj,,
counter-clockwise,compound noun,nuYixyWuzy,nuYixyWuzy,n'yih-shee-wuh-zee,nᵘyi-šē-wu-zē,,
counter-clockwise from,compound preposition,YixyWu,YixyWu,yih-shee-wuh,yi-šē-wu,,
"country, province",noun,mcz,mcz,muoz,møz,,
"county, jurisdiction",noun,YulJ,YUJ,yulj,yulj,,
courage,noun,Nerz,NPz,ngairz,ŋārz,,
"course, path",noun,pgwn,pgn,pohwn,pōn,,
court,noun,vax,vax,vash,vaš,,
cousin,noun,jilf,jIf,chilf,čilf,,
cow,noun,Rrz,Rrz,rurz,rurz,,
coyness,noun,No,No,ngo,ŋo,,
coyote,noun,Wgy,WB,woi,woi,,
crab,noun,xrQ,xrQ,shurdth,šurð,,
crack,verb,krT,krT,kurts,kurṣ,,
"crack, slit",noun,Walm,WAm,walm,walm,,
cracker,noun,Yeyf,YFf,yayf,yāf,,
"cram, jam, stuff",verb,DiD,DiD,dzihdz,ẓiẓ,,
crane (animal),noun,zaQ,zaQ,zadth,zað,,
crane (tool),noun,fglz,fGz,fohlz,fōlz,,
crashing-sound,noun,kax,kax,kash,kaš,,
crater,noun,ngyT,nBT,noits,noiṣ,,
crawfish,noun,Taw,TC,tsauw,ṣow,,
crawling,noun,jirQ,jVQ,cheerdth,čērð,,
crayon,noun,YuN,YuN,yuhng,yuŋ,,
creaking-sound,noun,Ryk,Ryk,reek,rēk,,
cream,noun,lilx,",lIx",lilsh,lilš,food,
create,verb,Xw,Xw,zhooh,žü,,
credit,noun,suq,suq,suhth,suθ,,
credit card,compound noun,Tev su suq,Tev su suq,tsehv s'suhth,ṣev sᵘsuθ,,
crib,noun,qulJ,qUJ,thulj,θulj,,
cricket,noun,kolT,kOT,kallts,kolṣ,,
crime,noun,voyH,vZH,viikhh,vīħ,,
crisis,noun,XwJ,XwJ,zhoohj,žüj,,
crispness,noun,kij,kij,kihch,kič,,
"critical-ness, exactness",noun,feN,feN,fehng,feŋ,,
criticize,verb,vym,vym,veem,vēm,,
crocodile,noun,Dalf,DAf,dzalf,ẓalf,animal,
crop (farm),noun,RgrN,RbN,roarng,rōrŋ,,
crop (part of bird),noun,Yorn,YSn,yarn,yarn,,
"crop, trim",verb,pgwq,pgq,pohwth,pōθ,,
"cross, intersection",compound noun,nunyN,nunyN,n'neeng,nᵘnēŋ,,
crossbow,noun,lgrx,",lbx",loarsh,lōrš,,
cross-dress,verb,Ygwn,Ygn,yohwn,yōn,,
crow,noun,fcp,fcp,fuop,føp,,
"cruelty, meanness",noun,Xerk,XPk,zhairk,žārk,,
"crumb, flake",noun,jgrq,jbq,choarth,čōrθ,,
crystal,noun,pglq,pGq,pohlth,pōlθ,,
"cubbyhole, nook",noun,hol,hO,hall,hol,,
"cube, hexahedron",noun,niln,nIn,niln,niln,,
"cucumber, pickle",noun,Jalx,JAx,jalsh,jalš,,
"cuddle, snuggle",verb,mrn,mrn,murn,murn,,
cuff,noun,fiD,fiD,fihdz,fiẓ,,
culture,noun,zerm,zPm,zairm,zārm,,
"cup, glass",noun,loq,",loq",loth,loθ,bathroom,home
cupboard,noun,huj,huj,huhch,huč,,
cure,verb,jeH,jeH,chehkhh,čeħ,,
curiosity,noun,veyq,vFq,vayth,vāθ,,
curl,noun,mwn,mwn,moohn,mün,,
curse,verb,mcH,mcH,muokhh,møħ,,
"curtain, drapery",noun,pwq,pwq,poohth,püθ,,
curve,noun,ngw,ng,nohw,nō,,
cushion,noun,Rcj,Rcj,ruoch,røč,,
custom,noun,sup,sup,suhp,sup,,
"customer, passenger, patient",noun,hirv,hVv,heerv,hērv,,
cut (on a surface),noun,Qglj,QGj,dthohlch,ðōlč,,
cute,unary suffix,ky,ky,kee,kē,unary suffix,grammar
cuteness,compound noun,nuky,nuky,n'kee,nᵘkē,,
cyborg,noun,Xer,XP,zhair,žār,,
cycle,compound noun,Dan,Dan,dzan,ẓan,science,
cycle,verb,nuDan Rw,nuDan Rw,n'dzan rooh,nᵘẓan rü,,
cynicism,noun,Drs,Drs,dzurs,ẓurs,emotion,
"dagger, sai",noun,kalz,kAz,kalz,kalz,,
daisy,noun,QoN,QoN,dthong,ðoŋ,,
"damage, harm",verb,Rrk,Rrk,rurk,rurk,,
dance (motion-type),verb,Rgyz,RBz,roiz,roiz,,
dandelion,noun,zorn,zSn,zarn,zarn,,
dandruff,noun,xwk,xwk,shoohk,šük,,
"danger, hazard",noun,qel,qE,thel,θel,,
dare,verb,poym,pZm,piim,pīm,,
"dart, shuriken",noun,valz,vAz,valz,valz,,
data,noun,krs,krs,kurs,kurs,,
date (fruit),noun,fgyT,fBT,foits,foiṣ,food,
date (time of year),noun,lirp,",lVp",leerp,lērp,,
daughter,compound noun,hoyz suj peq,hZz suj peq,hiiz suhch pehth,hīz suč peθ,,
dawn,noun,Wgln,WGn,wohln,wōln,,
day,noun,lilz,",lIz",lilz,lilz,,
day-and-night (24 hours),noun,zoyn,zZn,ziin,zīn,,
"deal, distribute, scatter",verb,qeyH,qFH,thaykhh,θāħ,,
death,compound noun,xerp su Hawx,xPp su HCx,shairp s'khhauwsh,šārp sᵘħowš,,
debris,noun,no,no,no,no,,
"decay, rot",noun,Hem,Hem,khhehm,ħem,,
deceive,verb,Rilz,RIz,rilz,rilz,,
decelerate,verb,WyT,WyT,weets,wēṣ,,
December,noun,qgy,qB,thoi,θoi,,
deciduous (tree),noun,faT,faT,fats,faṣ,nature,
"declare, proclaim",verb,Ycf,Ycf,yuof,yøf,,
"decrease, diminish",verb,Ngw,Ng,ngohw,ŋō,,
decrypt,verb,nirs,nVs,neers,nērs,,
deer,noun,noyn,nZn,niin,nīn,,
"defeat, succeed-against",verb,zeyf,zFf,zayf,zāf,,
"defecate, excrete (substance)",verb,DilJ,DIJ,dzilj,ẓilj,bathroom,
defend,verb,hgrf,hbf,hoarf,hōrf,,
defense,noun,Yglf,YGf,yohlf,yōlf,,
"deficit, weakness",noun,suH,suH,suhkhh,suħ,,
define,verb,Xawf,XCf,zhauwf,žowf,,
defined-to,compound preposition,Qawkel,QCkE,dthauw-kel,ðow-kel,,
"deflect, reflect",verb,Hors,HSs,khhars,ħars,,
defy,verb,lgwD,",lgD",lohwdz,lōẓ,,
"deity, god(dess)",noun,Tols,TOs,tsalls,ṣols,,
"delay, stall",verb,miD,miD,mihdz,miẓ,,
deliciousness,noun,fas,fas,fas,fas,food,
deliver,verb,zgws,zgs,zohws,zōs,,
"delusion, hallucination",noun,lwH,",lwH",loohkhh,lüħ,,
demon,noun,perH,pPH,pairkhh,pārħ,,
"demonstrate, instruct",verb,fir,fV,feer,fēr,,
"den, hideout",noun,HorX,HSX,khharzh,ħarž,,
denim,noun,niX,niX,nihzh,niž,,
dent,verb,DrD,DrD,dzurdz,ẓurẓ,,
deny,verb,Deq,Deq,dzehth,ẓeθ,,
deodorant,noun,sep,sep,sehp,sep,bathroom,home
"depend-upon, need, require",compound verb,lyDul,",lyDU",lee-dzul,lē-ẓul,,
"deposit, drop",verb,qeyv,qFv,thayv,θāv,,
"deride, mock",verb,keyD,kFD,kaydz,kāẓ,,
derivative,noun,Xalx,XAx,zhalsh,žalš,,
descendant,noun,Tirs,TVs,tseers,ṣērs,,
"describe, illustrate",verb,pgyJ,pBJ,poij,poij,,
desert,noun,keT,keT,kehts,keṣ,,
"design, format",noun,zglq,zGq,zohlth,zōlθ,,
desire,compound noun,nuDy,nuDy,n'dzee,nᵘẓē,,
"desire, want",compound verb,lyDy,",lyDy",lee-dzee,lē-ẓē,emotion,
desiring,verb suffix,Dy,Dy,dzee,ẓē,verb suffix,grammar
dessert,noun,Jwn,Jwn,joohn,jün,,
destination,noun,xoN,xoN,shong,šoŋ,,
"destiny, fate",noun,zgw,zg,zohw,zō,,
destroy,verb,Xwj,Xwj,zhoohch,žüč,,
detail,noun,mgrH,mbH,moarkhh,mōrħ,,
"detect, perceive, sense",verb,pir,pV,peer,pēr,,
detergent,noun,perz,pPz,pairz,pārz,,
"determination, resolve",noun,pirT,pVT,peerts,pērṣ,,
devastation,noun,poyJ,pZJ,piij,pīj,,
development,noun,Wev,Wev,wehv,wev,,
"deviation, difference",compound noun,nuQawj,nuQCj,n'dthauwch,nᵘðowč,,
"device, tool",noun,lorT,",lST",larts,larṣ,,
devil,noun,WrJ,WrJ,wurj,wurj,,
dexterity,noun,vgrn,vbn,voarn,vōrn,,
diagonal,noun,HiN,HiN,khhihng,ħiŋ,,
"diamond-shape, rhombus",noun,Dolp,DOp,dzallp,ẓolp,,
diaper,noun,Doyf,DZf,dziif,ẓīf,clothing,
"diary, journal",noun,kawn,kCn,kauwn,kown,,
dictatorship,noun,Yerx,YPx,yairsh,yārš,,
dictionary,noun,pgy,pB,poi,poi,,
diet,verb,mcf,mcf,muof,møf,,
diet,compound noun,numcf,numcf,n'muof,nᵘmøf,,
different-than,preposition,Qawj,QCj,dthauwch,ðowč,preposition,grammar
difficulty,noun,voyf,vZf,viif,vīf,,
"dig, mine",verb,jwX,jwX,choohzh,čüž,,
digital-ness,noun,vgwn,vgn,vohwn,vōn,,
dignity,noun,Nerv,NPv,ngairv,ŋārv,,
"dilate, open, spread",verb,jo,jo,cho,čo,,
dimension (otherworldly),noun,Yirm,YVm,yeerm,yērm,,
dimension (time and space),noun,jik,jik,chihk,čik,,
"diner, restaurant",noun,fwT,fwT,foohts,füṣ,,
"dinner, supper",noun,Yawq,YCq,yauwth,yowθ,,
dinosaur,noun,prz,prz,purz,purz,,
dip,noun,valm,vAm,valm,valm,,
diplomacy,noun,lwQ,",lwQ",loohdth,lüð,,
direction,noun,per,pP,pair,pār,,
"dirty, mess-up",verb,xiv,xiv,shihv,šiv,,
disable,verb,Tyn,Tyn,tseen,ṣēn,,
disagree-about,verb,Dglq,DGq,dzohlth,ẓōlθ,,
disapprove-of,verb,xawk,xCk,shauwk,šowk,,
disassemble,verb,Wgwk,Wgk,wohwk,wōk,,
"disc, disk",noun,Horq,HSq,khharth,ħarθ,,
discard,verb,jorm,jSm,charm,čarm,,
"disciple, follower",compound noun,nuRoqsr,nuRoqsr,n'roth-sur,nᵘroθ-sur,,
discipline,noun,heyf,hFf,hayf,hāf,,
"disclosure, intimacy",noun,kilf,kIf,kilf,kilf,,
discourage,verb,kcQ,kcQ,kuodth,køð,,
discover,verb,TyT,TyT,tseets,ṣēṣ,,
disease,noun,mgyk,mBk,moik,moik,,
disguise,verb,jelf,jEf,chelf,čelf,,
disguise,noun,moT,moT,mots,moṣ,,
disgust (emotion),noun,Wik,Wik,wihk,wik,,
"dish, plate",noun,Jiv,Jiv,jihv,jiv,bathroom,
dishwasher,noun,hawD,hCD,hauwdz,howẓ,,
dislike,verb,mgwj,mgj,mohwch,mōč,,
disorder (mental),noun,xcH,xcH,shuokhh,šøħ,,
"display, exhibit",verb,Ralf,RAf,ralf,ralf,,
"display, monitor, screen",compound noun,nuRalfsr,nuRAfsr,n'ralf-sur,nᵘralf-sur,,
disposability,noun,Nun,Nun,nguhn,ŋun,,
"dispose, throw-away, waste",verb,moz,moz,moz,moz,,
disprove,verb,vgyf,vBf,voif,voif,,
dissolve,verb,qolp,qOp,thallp,θolp,,
distance,noun,Reln,REn,reln,reln,,
"distort, stretch",verb,Rglk,RGk,rohlk,rōlk,,
"disturb, violate",verb,xcz,xcz,shuoz,šøz,,
"dithering, speckled-ness",noun,zop,zop,zop,zop,,
"diversity, variety",noun,Dgl,DG,dzohl,ẓōl,,
"divide, partition",verb,meyj,mFj,maych,māč,,
divine,verb,vis,vis,vihs,vis,,
diving,noun,WyD,WyD,weedz,wēẓ,,
"division, split",noun,Hck,Hck,khhuok,ħøk,,
divorce,noun,zers,zPs,zairs,zārs,,
"dizziness, vertigo",noun,Wawm,WCm,wauwm,wowm,,
"dock, nestle",verb,Qolp,QOp,dthallp,ðolp,,
"dock, port",noun,pwH,pwH,poohkhh,püħ,,
doctor (medical),noun,fuf,fuf,fuhf,fuf,body,
doctor (non-medical),noun,lulq,",lUq",lulth,lulθ,,
dog,noun,Rcf,Rcf,ruof,røf,,
"doll, figurine",noun,neJ,neJ,nehj,nej,,
"dollar, monetary unit",noun,peyz,pFz,payz,pāz,,
dolphin,noun,Ralx,RAx,ralsh,ralš,,
dome,noun,Tgl,TG,tsohl,ṣōl,,
domesticate,verb,fgw,fg,fohw,fō,,
domestication,noun,fgwx,fgx,fohwsh,fōš,,
dominance,compound noun,nunir,nunV,n'neer,nᵘnēr,,
"dominate, preside, rule",verb,nir,nV,neer,nēr,,
donkey,noun,horn,hSn,harn,harn,,
door,noun,jcf,jcf,chuof,čøf,,
dorsal-area,compound noun,per su Dirs,pP su DVs,pair s'dzeers,pār sᵘẓērs,,
"dot, spot",noun,Hal,HA,khhal,ħal,,
doubt,verb,vrf,vrf,vurf,vurf,,
dough,noun,xi,xi,shih,ši,,
"doughnut, torus",noun,mglT,mGT,mohlts,mōlṣ,,
dove,noun,TelX,TEX,tselzh,ṣelž,,
dragon,noun,nglq,nGq,nohlth,nōlθ,,
dragonfly,noun,zawq,zCq,zauwth,zowθ,,
"draw, mark, render",verb,loyD,",lZD",liidz,līẓ,,
drawbridge,noun,Hwj,Hwj,khhoohch,ħüč,,
drawer,noun,julk,jUk,chulk,čulk,,
drawing,noun,qyz,qyz,theez,θēz,,
"dream, imagine, meditate",verb,firq,fVq,feerth,fērθ,bedroom,home
dress,verb,Dorn,DSn,dzarn,ẓarn,clothing,
dress,noun,jwn,jwn,choohn,čün,,
drill,noun,xeyk,xFk,shayk,šāk,,
drill bit,noun,DwJ,DwJ,dzoohj,ẓüj,,
"drill, routine (activity)",noun,Wawx,WCx,wauwsh,wowš,,
"drill, screw",verb,zawf,zCf,zauwf,zowf,,
drink,verb,lalp,",lAp",lalp,lalp,food,
"drip, drizzle",verb,nav,nav,nav,nav,,
drive,verb,xe,xe,sheh,še,,
dromaeosaur,noun,Ja,Ja,ja,ja,,
"drool, ooze (substance)",verb,je,je,cheh,če,,
drought,noun,jelD,jED,cheldz,čelẓ,,
drug (medicinal),noun,jwq,jwq,choohth,čüθ,bathroom,home
drug (recreational),noun,qyX,qyX,theezh,θēž,,
drum,noun,falp,fAp,falp,falp,,
"dry, strain",verb,Rc,Rc,ruo,rø,,
"dryad, nymph",noun,fok,fok,fok,fok,,
dry-earth,noun,lwD,",lwD",loohdz,lüẓ,,
dryer (clothes),noun,Yols,YOs,yalls,yols,,
dryer (hair),noun,Neym,NFm,ngaym,ŋām,,
duck,noun,WiD,WiD,wihdz,wiẓ,,
duel,verb,JyT,JyT,jeets,jēṣ,,
dungeon,noun,Yaf,Yaf,yaf,yaf,,
duodenum,noun,sirq,sVq,seerth,sērθ,,
"during, as-soon-as, while, when",compound preposition,hrXr,hrXr,hur-zhur,hur-žur,,
"dusk, nightfall, twilight",noun,qolv,qOv,thallv,θolv,,
"dust, silt",noun,keyN,kFN,kayng,kāŋ,,
"duty, responsibility (duty)",noun,YerT,YPT,yairts,yārṣ,,
"dwarf, midget",noun,zoq,zoq,zoth,zoθ,,
dye,noun,Jil,JI,jil,jil,,
dysentery,noun,JgwT,JgT,johwts,jōṣ,,
each-of,noun prefix,ju,ju,chuh,ču,noun prefix,grammar
eagle,noun,nglj,nGj,nohlch,nōlč,,
ear,noun,Yyj,Yyj,yeech,yēč,,
Earth,proper noun,kuqgrq,kuqbq,k'thoarth,kᵘθōrθ,,
earthquake,noun,lilH,",lIH",lilkhh,lilħ,,
earwax,noun,neX,neX,nehzh,než,,
earwig,noun,liJ,",liJ",lihj,lij,animal,
easel,noun,ncq,ncq,nuoth,nøθ,,
east,noun,lilT,",lIT",lilts,lilṣ,,
echidna,noun,fwm,fwm,foohm,füm,,
echo,noun,joT,joT,chots,čoṣ,,
echolocation,noun,joD,joD,chodz,čoẓ,,
economics,noun,Jwf,Jwf,joohf,jüf,,
edge,noun,pyf,pyf,peef,pēf,,
education,noun,WeD,WeD,wehdz,weẓ,,
eel,noun,QeD,QeD,dthehdz,ðeẓ,,
efficiency,noun,Jgyj,JBj,joich,joič,,
egg,noun,Xgys,XBs,zhois,žois,,
