Pidgin,Grammatical Type,Script,True Transcription,Skyhawk Orthography,English Translation,set,pack
Jalk,noun,JAk,jalk,jalk,automation,,
jalk,noun,jAk,chalk,čalk,hedgehog,,
jalm,noun,jAm,chalm,čalm,card (greeting or holiday),,
Jalx,noun,JAx,jalsh,jalš,"cucumber, pickle",,
Jalz,noun,JAz,jalz,jalz,carrot,food,
jam,noun,jam,cham,čam,stage (theatrical),,
Jam,noun,Jam,jam,jam,wealth,,
Jan,noun,Jan,jan,jan,ceratopsian,paleontology,science
jan,noun,jan,chan,čan,chlorine,,
JaN,noun,JaN,jang,jaŋ,lancelet (animal),,
jaQ,noun,jaQ,chadth,čað,root,,
Jaq,noun,Jaq,jath,jaθ,sphincter,,
JaT,verb,JaT,jats,jaṣ,"arrange, coordinate",,
jaT,noun,jaT,chats,čaṣ,park,,
jaw,verb,jC,chauw,čow,"capture, trap",,
jawj,verb,jCj,chauwch,čowč,"kill, make-die",,
jawk,noun,jCk,chauwk,čowk,leaf,,
Jawk,verb,JCk,jauwk,jowk,remind,,
Jawn,noun,JCn,jauwn,jown,relative,,
jawq,noun,jCq,chauwth,čowθ,washcloth,bathroom,
Jawq,verb,JCq,jauwth,jowθ,nag,,
jawQ,verb,jCQ,chauwdth,čowð,stain,,
jawT,noun,jCT,chauwts,čowṣ,infrared rays,,
jawX,noun,jCX,chauwzh,čowž,correlation,,
jawx,noun,jCx,chauwsh,čowš,pupil (in eye),,
jax,noun,jax,chash,čaš,basis,,
jaz,noun,jaz,chaz,čaz,pangolin,,
jcf,noun,jcf,chuof,čøf,door,,
jcH,noun,jcH,chuokhh,čøħ,fruit fly,,
Jcj,verb,Jcj,juoch,jøč,contribute,,
jcj,noun,jcj,chuoch,čøč,owl,,
jcq,noun,jcq,chuoth,čøθ,robin,,
JcQ,noun,JcQ,juodth,jøð,tide,,
jcx,noun,jcx,chuosh,čøš,tower,,
je,verb,je,cheh,če,"drool, ooze (substance)",,
Je,noun,Je,jeh,je,thesaurus,,
JeD,noun,JeD,jehdz,jeẓ,hot-tub,,
jeD,noun,jeD,chehdz,čeẓ,storage-device,,
jef,noun,jef,chehf,čef,"bribe, offer",,
jeH,verb,jeH,chehkhh,čeħ,cure,,
JeJ,verb,JeJ,jehj,jej,"fasten, secure, tie",,
Jel,noun,JE,jel,jel,brassiere,clothing,home
jel,noun,jE,chel,čel,archaeopteryx,paleontology,science
jelD,noun,jED,cheldz,čelẓ,drought,,
jelf,verb,jEf,chelf,čelf,disguise,,
JelJ,noun,JEJ,jelj,jelj,"extinction, genocide",,
jelJ,noun,jEJ,chelj,čelj,marsupial wolf,,
Jelm,verb,JEm,jelm,jelm,"convince, persuade",,
JelT,verb,JET,jelts,jelṣ,approach,,
jelv,noun,jEv,chelv,čelv,worry,,
jelz,noun,jEz,chelz,čelz,moth,,
Jem,noun,Jem,jehm,jem,powder (substance),,
Jem su nuxwN,compound noun,Jem su nuxwN,jehm s'n'shoohng,jem sᵘnᵘšüŋ,baking powder,kitchen,home
jeN,verb,jeN,chehng,čeŋ,"bring, provide",,
jen,noun,jen,chehn,čen,flour,,
jen,noun,jen,chehn,čen,love (sentimental or parental),,
Jep,noun,Jep,jehp,jep,recording media,,
jep,noun,jep,chehp,čep,"rod, staff",,
Jeq,noun,Jeq,jehth,jeθ,moat,,
Jer,verb,JP,jair,jār,resemble,,
jerf,verb,jPf,chairf,čārf,understand,,
Jerm,verb,JPm,jairm,jārm,"assume, guess",,
jerp,noun,jPp,chairp,čārp,trouble,,
jerq,noun,jPq,chairth,čārθ,bus,transportation,daily life
JerT,noun,JPT,jairts,jārṣ,umbilical cord,,
Jerv,noun,JPv,jairv,jārv,prostate,,
JeT,noun,JeT,jehts,jeṣ,prairie dog,,
Jex,noun,Jex,jehsh,ješ,conflict,,
jey,noun,jF,chay,čā,hole,,
JeyD,verb,JFD,jaydz,jāẓ,record,,
Jeyf,noun,JFf,jayf,jāf,"living-room, parlor",,
jeyH,noun,jFH,chaykhh,čāħ,"shock, surprise (emotion)",,
jeyk,noun,jFk,chayk,čāk,sword,,
Jeym,noun,JFm,jaym,jām,knuckle,,
Jeyp,verb,JFp,jayp,jāp,vacate,,
jgl,noun,jG,chohl,čōl,month,,
jglf,noun,jGf,chohlf,čōlf,newness,,
Jglj,verb,JGj,johlch,jōlč,"relent, surrender",,
jglk,verb,jGk,chohlk,čōlk,spank,,
Jgln,noun,JGn,johln,jōln,amphibian,zoology,science
jglT,noun,jGT,chohlts,čōlṣ,analysis,,
jglz,verb,jGz,chohlz,čōlz,"represent, stand-for",,
jgr,verb,jb,choar,čōr,forgive,,
jgrj,noun,jbj,choarch,čōrč,saw,,
jgrp,noun,jbp,choarp,čōrp,fin,,
jgrq,noun,jbq,choarth,čōrθ,"crumb, flake",,
Jgrs,verb,Jbs,joars,jōrs,congratulate,,
jgrx,noun,jbx,choarsh,čōrš,cough,,
jgw,noun,jg,chohw,čō,clock,,
Jgw,verb,Jg,johw,jō,plant,,
jgwf,noun,jgf,chohwf,čōf,"copy, print, reproduction",,
jgwfsr,compound noun,jgfsr,chohwf-sur,čōf-sur,copier,,
jgwJ,noun,jgJ,chohwj,čōj,nebula,,
Jgwm,verb,Jgm,johwm,jōm,challenge,,
jgwm,noun,jgm,chohwm,čōm,tomato,,
Jgwn,noun,Jgn,johwn,jōn,challenge,,
jgwq,noun,jgq,chohwth,čōθ,flu,,
Jgwq,noun,Jgq,johwth,jōθ,waddling,,
jgws,noun,jgs,chohws,čōs,theory,,
JgwT,noun,JgT,johwts,jōṣ,dysentery,,
jgwz,noun,jgz,chohwz,čōz,sleet,,
Jgy,verb,JB,joi,joi,"ejaculate, propel",,
Jgyj,noun,JBj,joich,joič,efficiency,,
JgyN,noun,JBN,joing,joiŋ,rubber-sound (bouncy),,
Jgyn,verb,JBn,join,join,work-for,,
Jgyz,noun,JBz,joiz,joiz,awkwardness (of form),,
jgyz,noun,jBz,choiz,čoiz,steam,,
jif,noun,jif,chihf,čif,conclusion,,
JiH,noun,JiH,jihkhh,jiħ,clam,,
jiH,noun,jiH,chihkhh,čiħ,pawpad,,
jik,noun,jik,chihk,čik,dimension (time and space),,
Jil,noun,JI,jil,jil,dye,,
jil,noun,jI,chil,čil,geometry,,
Jilf,noun,JIf,jilf,jilf,chimpanzee,,
jilf,noun,jIf,chilf,čilf,cousin,,
jiln,noun,jIn,chiln,čiln,jet (of substance),,
jilQ,noun,jIQ,childth,čilð,fascination,,
jilx,noun,jIx,chilsh,čilš,chinchilla,,
jilz,noun,jIz,chilz,čilz,flea,,
jiN,noun,jiN,chihng,čiŋ,illusion,,
JiN,noun,JiN,jihng,jiŋ,infatuation,,
jip,noun,jip,chihp,čip,guinea pig,,
Jir,verb,JV,jeer,jēr,escort,,
jir,noun,jV,cheer,čēr,painting,,
Jirj,noun,JVj,jeerch,jērč,shampoo,bathroom,home
jirj,noun,jVj,cheerch,čērč,scrotum,,
Jirk,noun,JVk,jeerk,jērk,"holster, sheath",,
jirm,verb,jVm,cheerm,čērm,undress,,
jirN,verb,jVN,cheerng,čērŋ,encourage,,
JirN,noun,JVN,jeerng,jērŋ,gizzard,,
jirQ,noun,jVQ,cheerdth,čērð,crawling,,
jirs,verb,jVs,cheers,čērs,chew,,
Jirx,noun,JVx,jeersh,jērš,foreskin,,
Jiv,noun,Jiv,jihv,jiv,"dish, plate",kitchen,home
jix,noun,jix,chihsh,čiš,skin,,
Jo,noun,Jo,jo,jo,amber (substance),biology,science
jo,verb,jo,cho,čo,"dilate, open, spread",,
joD,noun,joD,chodz,čoẓ,echolocation,,
joj,verb,joj,choch,čoč,close,,
Jol,noun,JO,jall,jol,elf,,
jol,noun,jO,chall,čol,nova,,
Jolf,noun,JOf,jallf,jolf,theatre,,
jolj,noun,jOj,challch,čolč,moon,,
jolm,noun,jOm,challm,čolm,"oar, pedal",,
Jolm,noun,JOm,jallm,jolm,skateboard,,
Joln,noun,JOn,jalln,joln,vine,,
jolv,noun,jOv,challv,čolv,"chest, thorax",,
jolx,noun,jOx,challsh,čolš,carnivore,zoology,science
Jom,noun,Jom,jom,jom,broom,,
joN,noun,joN,chong,čoŋ,bacterium,biology,science
joq,noun,joq,choth,čoθ,rustling-sound,,
jor,noun,jS,char,čar,rosette (whole),,
Jor,noun,JS,jar,jar,urchin,,
JorD,noun,JSD,jardz,jarẓ,quartz,,
jorf,noun,jSf,charf,čarf,meerkat,,
jorj,noun,jSj,charch,čarč,microbe,,
jorm,verb,jSm,charm,čarm,discard,,
Jorn,verb,JSn,jarn,jarn,"exhaust, use-up",,
jorq,noun,jSq,charth,čarθ,flag,,
jors,noun,jSs,chars,čars,clothing,clothing,home
Jors,verb,JSs,jars,jars,"avoid, dodge",,
jorx,noun,jSx,charsh,čarš,employment,,
jos,noun,jos,chos,čos,sound (sound waves),,
joT,noun,joT,chots,čoṣ,echo,,
joX,noun,joX,chozh,čož,temperature,bathroom,home
jox,noun,jox,chosh,čoš,moss,,
joy,verb,jZ,chii,čī,explode,,
Joy,noun,JZ,jii,jī,permanence,,
joyJ,noun,jZJ,chiij,čīj,art,,
joyj,verb,jZj,chiich,čīč,implode,,
joyJ su mgrs,compound noun,jZJ su mbs,chiij s'moars,čīj sᵘmōrs,pornography,,
Joyz,verb,JZz,jiiz,jīz,warm,perception,emotion
Jr,preposition,Jr,jur,jur,in-front,preposition,grammar
jr,verb,jr,chur,čur,say-words,,
Jrj,preposition,Jrj,jurch,jurč,in-back,preposition,grammar
jrj,noun,jrj,church,čurč,intelligence,,
jrJ,verb,jrJ,churj,čurj,"pilot, steer",,
jrN,noun,jrN,churng,čurŋ,mouse (computer),,
Jrp,noun,Jrp,jurp,jurp,elbow,,
jrp,noun,jrp,churp,čurp,elder,,
jrz,noun,jrz,churz,čurz,hair (head),,
Jrz,verb,Jrz,jurz,jurz,navigate,,
Ju,noun prefix,Ju,juh,ju,all-of,noun prefix,grammar
ju,noun prefix,ju,chuh,ču,each-of,noun prefix,grammar
JuDr,compound noun,JuDr,j'dzur,jᵘẓur,"anywhere, everywhere",,
JuDu,compound noun,JuDu,j'dzuh,jᵘẓu,"anything, everything",,
Juf,verb,Juf,juhf,juf,box,,
juf,noun,juf,chuhf,čuf,law,,
Jufr,compound noun,Jufr,j'fur,jᵘfur,"anyone, everyone",,
juj,noun,juj,chuhch,čuč,galaxy,,
Juj,verb,Juj,juhch,juč,kiss,,
JuJ,noun,JuJ,juhj,juj,paper,,
Jul,numerical term,JU,jul,jul,negative,numerical,mathematics
julf,noun,jUf,chulf,čulf,paralysis,,
Julf,noun,JUf,julf,julf,pelvis,,
Julj,noun,JUj,julch,julč,"net, web",,
julj,noun,jUj,chulch,čulč,slug,,
julJ,noun,jUJ,chulj,čulj,young adult,,
julk,noun,jUk,chulk,čulk,drawer,,
Julk,verb,JUk,julk,julk,melt,,
julN,noun,jUN,chulng,čulŋ,reef,,
julx,noun,jUx,chulsh,čulš,liquid-sound (organic),,
Jun,noun,Jun,juhn,jun,bow,,
Jup,noun,Jup,juhp,jup,comet,,
Juq,noun,Juq,juhth,juθ,mud,,
JuQ,noun,JuQ,juhdth,juð,stegosaur,,
Juqe,compound noun,Juqe,j'theh,jᵘθe,"always, anytime, forever",,
jw,preposition,jw,chooh,čü,to-help-with,preposition,grammar
Jw,unary suffix,Jw,jooh,jü,anti,unary suffix,grammar
Jwf,noun,Jwf,joohf,jüf,economics,,
jwfw,compound preposition,jwfw,chooh-fooh,čü-fü,in order to cause,,
jwj,preposition,jwj,choohch,čüč,to-be-against,preposition,grammar
Jwj,noun,Jwj,joohch,jüč,fuzziness,,
jwm,noun,jwm,choohm,čüm,"essence, nature",,
Jwn,noun,Jwn,joohn,jün,dessert,,
jwn,verb,jwn,choohn,čün,dress,,
jwp,noun,jwp,choohp,čüp,"grate, grill",,
jwq,noun,jwq,choohth,čüθ,drug (medicinal),bathroom,home
Jwq,verb,Jwq,joohth,jüθ,"molt, shed",,
jwv,noun,jwv,choohv,čüv,being-upside-down,,
jwx,noun,jwx,choohsh,čüš,sneeze,bathroom,home
jwX,verb,jwX,choohzh,čüž,"dig, mine",,
jwXr,compound preposition,jwXr,chooh-zhur,čü-žur,indifferent-to,,
Jwz,noun,Jwz,joohz,jüz,celery,food,
jwz,noun,jwz,choohz,čüz,mountain,,
jy,noun suffix,jy,chee,čē,however,noun suffix,grammar
Jy,unary suffix,Jy,jee,jē,maximal,unary suffix,grammar
jyf,noun,jyf,cheef,čēf,toilet paper,bathroom,home
jyj,noun,jyj,cheech,čēč,opponent,,
JyJ,verb,JyJ,jeej,jēj,respect,,
jyk,noun,jyk,cheek,čēk,conditioner (hair),bathroom,home
jyp,noun,jyp,cheep,čēp,bird,,
JyT,verb,JyT,jeets,jēṣ,duel,,
jyT,verb,jyT,cheets,čēṣ,steady,,
Jyv,noun,Jyv,jeev,jēv,nausea,,
Jyx,noun,Jyx,jeesh,jēš,butter,food,
jyz,noun,jyz,cheez,čēz,plane (geometric),,
ka,noun,ka,ka,ka,fish,,
kak,verb,kak,kak,kak,shoot (projectile),,
kalk,noun,kAk,kalk,kalk,clicking-sound,,
kaln,noun,kAn,kaln,kaln,fist,,
kalX,noun,kAX,kalzh,kalž,bank,,
kalx,verb,kAx,kalsh,kalš,"lend, loan",,
kalz,noun,kAz,kalz,kalz,"dagger, sai",,
kam,verb,kam,kam,kam,"aid, assist, help",,
kaN,noun,kaN,kang,kaŋ,animal,,
kawj,noun,kCj,kauwch,kowč,cheese,,
kawk,noun,kCk,kauwk,kowk,plant,,
kawn,noun,kCn,kauwn,kown,"diary, journal",,
kawq,noun,kCq,kauwth,kowθ,robe,,
kax,noun,kax,kash,kaš,crashing-sound,,
kc,verb,kc,kuo,kø,"acquire, gain",,
kcm,noun,kcm,kuom,køm,automobile,,
kcq,noun,kcq,kuoth,køθ,ancestor,,
kcQ,verb,kcQ,kuodth,køð,discourage,,
kel,unary suffix,kE,kel,kel,beyond,unary suffix,grammar
kelj,noun,kEj,kelch,kelč,chicken,,
kelm,noun,kEm,kelm,kelm,testis,,
kelq,verb,kEq,kelth,kelθ,"buy, purchase",,
kelT,noun,kET,kelts,kelṣ,"flesh, meat",food,
kelz,noun,kEz,kelz,kelz,slope,,
ker,noun,kP,kair,kār,canoe-shape,,
kerf,noun,kPf,kairf,kārf,rhinoceros,,
kern,noun,kPn,kairn,kārn,hero,,
kers,noun,kPs,kairs,kārs,relaxation,,
kerx,verb,kPx,kairsh,kārš,agree-about,,
keT,noun,keT,kehts,keṣ,desert,,
keX,noun,keX,kehzh,kež,mean (arithmetic),,
key,numerical term,kF,kay,kā,thirteen,numerical,mathematics
keyD,verb,kFD,kaydz,kāẓ,"deride, mock",,
keyf,noun,kFf,kayf,kāf,"instrument (string, hand)",,
keyj,verb,kFj,kaych,kāč,"clip, pinch",,
keyN,noun,kFN,kayng,kāŋ,"dust, silt",,
keyn,verb,kFn,kayn,kān,know-about,,
keyq,noun,kFq,kayth,kāθ,sparrow,,
keyQ,noun,kFQ,kaydth,kāð,sperm,,
keyx,noun,kFx,kaysh,kāš,book,,
kgl,noun,kG,kohl,kōl,superiority,,
kglm,noun,kGm,kohlm,kōlm,"brawn, strength",,
kgln,noun,kGn,kohln,kōln,pot,,
kgr,noun,kb,koar,kōr,passion,,
kgrm,noun,kbm,koarm,kōrm,bench,,
kgrn,verb,kbn,koarn,kōrn,surprise,,
kgw,verb,kg,kohw,kō,gesture,,
kgwx,noun,kgx,kohwsh,kōš,rectum,,
kgy,noun,kB,koi,koi,hare,,
kgyf,noun,kBf,koif,koif,limping,,
kgyj,noun,kBj,koich,koič,monkey,,
kgyk,noun,kBk,koik,koik,slave,,
kgyv,noun,kBv,koiv,koiv,wisdom,,
kgyx,noun,kBx,koish,koiš,whiskers (animal),,
kij,noun,kij,kihch,kič,crispness,,
kik,noun,kik,kihk,kik,"innocence, virginity",,
kilf,noun,kIf,kilf,kilf,"disclosure, intimacy",,
kilj,noun,kIj,kilch,kilč,escalator,,
kilm,noun,kIm,kilm,kilm,were-creature,,
kiln,noun,kIn,kiln,kiln,stair,,
kim,noun,kim,kihm,kim,heron,,
kip,noun,kip,kihp,kip,toddler,,
kir,noun,kV,keer,kēr,fact,,
kirf,noun,kVf,keerf,kērf,resolution,,
kiT,noun,kiT,kihts,kiṣ,"child, preteen",,
kiv,noun,kiv,kihv,kiv,computer,,
kix,noun,kix,kihsh,kiš,height,,
kiX,noun,kiX,kihzh,kiž,power (physics),,
kiz,noun,kiz,kihz,kiz,shrimp (animal),,
koj,noun,koj,koch,koč,adult,,
kol,noun,kO,kall,kol,"bi-directional, centaur-form",furry-specific,
kolm,noun,kOm,kallm,kolm,tomorrow,,
kolq,noun,kOq,kallth,kolθ,marble,,
kolT,noun,kOT,kallts,kolṣ,cricket,,
kolX,noun,kOX,kallzh,kolž,skyscraper,,
kolz,verb,kOz,kallz,kolz,"teach, train",,
kop,noun,kop,kop,kop,parent,,
koq,noun,koq,koth,koθ,canoe,,
korq,noun,kSq,karth,karθ,"ball, sphere",geometry,mathematics
korQ,verb,kSQ,kardth,karð,"confirm, verify",,
korx,noun,kSx,karsh,karš,jogging,,
korz,noun,kSz,karz,karz,tear (crying),,
koyD,noun,kZD,kiidz,kīẓ,astronomy,astronomy,science
koyj,verb,kZj,kiich,kīč,"guard, protect, shelter, shield",,
koyp,noun,kZp,kiip,kīp,kneeling,,
koyq,noun,kZq,kiith,kīθ,"strategy, tactics",,
koyv,noun,kZv,kiiv,kīv,algae,biology,science
koyx,noun,kZx,kiish,kīš,jackalope,,
koyz,noun,kZz,kiiz,kīz,angel,religion,religion
kr,pronoun,kr,kur,kur,what,pronoun,grammar
krH,verb,krH,kurkhh,kurħ,"push, shove",,
krJ,noun,krJ,kurj,kurj,newt,,
krk,verb,krk,kurk,kurk,kick,,
krm,noun,krm,kurm,kurm,x-rays,,
krn,noun,krn,kurn,kurn,business (being busy),,
krs,noun,krs,kurs,kurs,data,,
krT,verb,krT,kurts,kurṣ,crack,,
krx,verb,krx,kursh,kurš,"collide, crash",,
krz,noun,krz,kurz,kurz,face,,
ku,noun prefix,ku,kuh,ku,proper,noun prefix,grammar
kuDaw,proper noun,kuDC,k'dzauw,kᵘẓow,Tao,,
kuDgwn,proper noun,kuDgn,k'dzohwn,kᵘẓōn,Uranus,,
kuDoJ,proper noun,kuDoJ,k'dzoj,kᵘẓoj,Africa,geography,proper nouns
kuhawq,proper noun,kuhCq,k'hauwth,kᵘhowθ,Sun (the Earth's),,
kuHawQ,proper noun,kuHCQ,k'khhauwdth,kᵘħowð,Sun God(dess),,
kuhc,proper noun,kuhc,k'huo,kᵘhø,North America,,
kuJelq,proper noun,kuJEq,k'jelth,kᵘjelθ,Asia,geography,
kuJgwv,proper noun,kuJgv,k'johwv,kᵘjōv,Jehovah (God of Abraham),,
kujolJ,proper noun,kujOJ,k'challj,kᵘčolj,Moon (the Earth's),,
kuJolv,proper noun,kuJOv,k'jallv,kᵘjolv,Europe,,
kuJyz,proper noun,kuJyz,k'jeez,kᵘjēz,Jesus of Nazareth,,
kukeln,proper noun,kukEn,k'keln,kᵘkeln,Neptune,,
kukoy,proper noun,kukZ,k'kii,kᵘkī,Gaia,,
kukun,proper noun,kukun,k'kuhn,kᵘkun,Confucius,,
kul,numerical term,kU,kul,kul,zero,numerical,mathematics
kulf,verb,kUf,kulf,kulf,"identify, recognize",,
kulp,verb,kUp,kulp,kulp,swallow,,
kumgwH,proper noun,kumgH,k'mohwkhh,kᵘmōħ,Mohammed,,
kuN,noun,kuN,kuhng,kuŋ,eyelid,,
kuNap,proper noun,kuNap,k'ngap,kᵘŋap,Saturn,,
kup,noun,kup,kuhp,kup,"baby, infant",,home
kupan,proper noun,kupan,k'pan,kᵘpan,Pan,,
kuprH,proper noun,kuprH,k'purkhh,kᵘpurħ,Brahma,religion,proper nouns
kupwD,proper noun,kupwD,k'poohdz,kᵘpüẓ,Buddha,religion,proper nouns
kuq,noun,kuq,kuhth,kuθ,blue,colors,
kuq su feJ,compound noun,kuq su feJ,kuhth s'fehj,kuθ sᵘfej,navy blue,,
kuq su qum,compound noun,kuq su qum,kuhth s'thuhm,kuθ sᵘθum,"violet, purple",,
kuq su saw,compound noun,kuq su sC,kuhth s'sauw,kuθ sᵘsow,cobalt (color),,
kuq su zcn,compound noun,kuq su zcn,kuhth s'zuon,kuθ sᵘzøn,azure,colors,
kuqawf,proper noun,kuqCf,k'thauwf,kᵘθowf,South America,,
kuqgrq,proper noun,kuqbq,k'thoarth,kᵘθōrθ,Earth,,
kusalT,proper noun,kusAT,k'salts,kᵘsalṣ,Australia,geography,
kuseyT,proper noun,kusFT,k'sayts,kᵘsāṣ,Satan,,
kuTglT,proper noun,kuTGT,k'tsohlts,kᵘṣōlṣ,Mars,,
kuvix,proper noun,kuvix,k'vihsh,kᵘviš,Vishnu,,
kuWun,proper noun,kuWun,k'wuhn,kᵘwun,The One / The All (pagan deity),,
kuxorz,proper noun,kuxSz,k'sharz,kᵘšarz,Venus,,
kuXrz,proper noun,kuXrz,k'zhurz,kᵘžurz,Jupiter,,
kuxyv,proper noun,kuxyv,k'sheev,kᵘšēv,Shiva,,
kuYol,proper noun,kuYO,k'yall,kᵘyol,Allah,religion,proper nouns
kw,numerical term,kw,kooh,kü,two,numerical,mathematics
kwn,noun,kwn,koohn,kün,watch,,
kws,noun,kws,koohs,küs,gryphon,,
kwT,numerical term,kwT,koohts,küṣ,eight,numerical,mathematics
kwx,numerical term,kwx,koohsh,küš,four,numerical,mathematics
kwz,verb,kwz,koohz,küz,"ignore, neglect, skip",,
ky,unary suffix,ky,kee,kē,cute,unary suffix,grammar
kyH,noun,kyH,keekhh,kēħ,noise,,
kyp,noun,kyp,keep,kēp,shirt (business),,
kyT,verb,kyT,keets,kēṣ,"call-up, page",,
laf,noun,",laf",laf,laf,flight,,
laj,noun,",laj",lach,lač,locket,,
lalf,noun,",lAf",lalf,lalf,humiliation,,
lalp,verb,",lAp",lalp,lalp,drink,food,
laq,noun,",laq",lath,laθ,sentence (grammar),,
laT,noun,",laT",lats,laṣ,annoyance,,
law,verb,",lC",lauw,low,"control, manipulate",,
lawJ,noun,",lCJ",lauwj,lowj,pad (raised surface),,
lawp,noun,",lCp",lauwp,lowp,pepper,food,
lawQ,noun,",lCQ",lauwdth,lowð,possum,zoology,science
lawv,noun,",lCv",lauwv,lowv,stripe,description,
lawx,noun,",lCx",lauwsh,lowš,wine,food,
laz,noun,",laz",laz,laz,north,geography,
lcN,noun,",lcN",luong,løŋ,guilt (emotional),emotion,emotion
lcX,noun,",lcX",luozh,løž,peninsula,geography,
lcz,noun,",lcz",luoz,løz,engine,physics,science
lel,noun,",lE",lel,lel,envy,emotion,emotion
leQ,noun,",leQ",lehdth,leð,arch,description,
leq,noun,",leq",lehth,leθ,she-male,sexuality,social
ler,noun,",lP",lair,lār,aggravation (emotion),emotion,emotion
lern,noun,",lPn",lairn,lārn,tornado,,
lers,noun,",lPs",lairs,lārs,breathlessness,,
les,noun,",les",lehs,les,ibis,zoology,science
lev,noun,",lev",lehv,lev,tissue,bathroom,home
lex,noun,",lex",lehsh,leš,monster,fantasy,
leyn,noun,",lFn",layn,lān,ray,,
leyT,noun,",lFT",layts,lāṣ,percentage,,
leyz,verb,",lFz",layz,lāz,pity,,
lgl,noun,",lG",lohl,lōl,fan (fanatic),,
lgln,noun,",lGn",lohln,lōln,"grief, sadness, sorrow",emotion,emotion
lglx,noun,",lGx",lohlsh,lōlš,cicada,zoology,science
lgr,noun,",lb",loar,lōr,ponytail,anatomy,science
lgrH,noun,",lbH",loarkhh,lōrħ,coordinates,geometry,mathematics
lgrp,noun,",lbp",loarp,lōrp,"overwhelmed-ness, excess",emotion,emotion
lgrx,noun,",lbx",loarsh,lōrš,crossbow,,
lgw,noun,",lg",lohw,lō,parallel-ness,,
lgwD,verb,",lgD",lohwdz,lōẓ,defy,,
lgwf,noun,",lgf",lohwf,lōf,store,,
lgwH,noun,",lgH",lohwkhh,lōħ,androgyne-male,sexuality,social
lgwj,noun,",lgj",lohwch,lōč,career,,
lgwm,verb,",lgm",lohwm,lōm,sell,,
lgwN,noun,",lgN",lohwng,lōŋ,goblin,fantasy,
lgwq,noun,",lgq",lohwth,lōθ,yak,zoology,science
lgy,noun,",lB",loi,loi,sharpness,,
lgyD,verb,",lBD",loidz,loiẓ,voyeur,,
lgyj,noun,",lBj",loich,loič,"goal, mission",,
li,verb,",li",lih,li,regret,emotion,emotion
lif,noun,",lif",lihf,lif,panda,zoology,science
liH,noun,",liH",lihkhh,liħ,chastity,,
liJ,noun,",liJ",lihj,lij,earwig,zoology,science
lij,noun,",lij",lihch,lič,night,,
lik,noun,",lik",lihk,lik,knocking-sound,,
lil,verb,",lI",lil,lil,breathe,,
lilf,noun,",lIf",lilf,lilf,"love (companionate), friendship",emotion,emotion
lilH,noun,",lIH",lilkhh,lilħ,earthquake,,
lilj,noun,",lIj",lilch,lilč,bear,zoology,science
lilk,noun,",lIk",lilk,lilk,breath,anatomy,science
liln,noun,",lIn",liln,liln,pronking,,
lilq,noun,",lIq",lilth,lilθ,friend,social,social
lils,noun,",lIs",lils,lils,"foot, paw (locomotor)",,
lilT,noun,",lIT",lilts,lilṣ,east,,
lilv,noun,",lIv",lilv,lilv,can,,
lilx,noun,",lIx",lilsh,lilš,cream,food,
lilz,noun,",lIz",lilz,lilz,day,,
lim,verb,",lim",lihm,lim,meet,,
lin,noun,",lin",lihn,lin,stomach,,
lip,verb,",lip",lihp,lip,"react-to, respond-to",,
lirD,verb,",lVD",leerdz,lērẓ,fuse-together,,
lirp,noun,",lVp",leerp,lērp,date (time of year),,
lirz,noun,",lVz",leerz,lērz,grid,,
lis,verb,",lis",lihs,lis,pose,,
liv,noun,",liv",lihv,liv,blood,anatomy,science
lix,verb,",lix",lihsh,liš,lick,food,
liX,noun,",liX",lihzh,liž,lubricant (synthetic),,
liz,verb,",liz",lihz,liz,tickle,social,social
lo,noun,",lo",lo,lo,"awl, spike",,
lo,noun,",lo",lo,lo,"spike, awl",,
loD,noun,",loD",lodz,loẓ,elemental,fantasy,
lof,noun,",lof",lof,lof,riddle,,
lolf,verb,",lOf",lallf,lolf,lease,,
lolk,verb,",lOk",lallk,lolk,"segregate, separate",,
lolp,noun,",lOp",lallp,lolp,"cosmetics, makeup",bathroom,home
lolv,noun,",lOv",lallv,lolv,giraffe-print,,
lolx,verb,",lOx",lallsh,lolš,vibrate,,
lom,verb,",lom",lom,lom,wait-for,,
lon,noun,",lon",lon,lon,male,sexuality,social
loN,noun,",loN",long,loŋ,male-bias (attraction to males),sexuality,social
loNXr,compound noun,",loNXr",long-zhur,loŋ-žur,bisexuality,sexuality,social
loq,noun,",loq",loth,loθ,"cup, glass",bathroom,home
loQ,noun,",loQ",lodth,loð,gloss,description,
lor,noun,",lS",lar,lar,building,,
lorD,noun,",lSD",lardz,larẓ,population,,
lorJ,noun,",lSJ",larj,larj,October,,
lorN,noun,",lSN",larng,larŋ,tooth (blunt),,
lorT,noun,",lST",larts,larṣ,"device, tool",,
lorx,noun,",lSx",larsh,larš,"plushie, stuffed animal",furry-specific,home
lorx su nulaw,compound noun,",lSx su nulC",larsh s'n'lauw,larš sᵘnᵘlow,puppet,,
loT,noun,",loT",lots,loṣ,gold,,
loyD,verb,",lZD",liidz,līẓ,"draw, mark, render",,
loyf,noun,",lZf",liif,līf,sugarcane,,
lr,verb,",lr",lur,lur,"talk-about, talk, speak, say",essentials,
lrD,noun,",lrD",lurdz,lurẓ,vagina,anatomy,science
lrH,noun,",lrH",lurkhh,lurħ,parabola,,
lrm,noun,",lrm",lurm,lurm,shade (area of shadow),,
